"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Incorrectly Sized Images Potential Savings (bytes)"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/cash-150x150.jpg","18500","Cash-Starting Early","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][7]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/JR-Striped-Marlin-150x150.jpg","20897","JR Striped Marlin","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][14]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Grandma-150x150.jpg","16198","Grandma","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][16]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/11/RavenAndHisBlankey-150x150.jpg","3756","Raven & His Blanket","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][17]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/cash-1024x683.jpg","103575","Cash-Starting Early","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][7]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Grandma.jpg","62920","Grandma","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][16]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/GoJumpInaLake.jpg","75184","Go Jump In a Lake","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][10]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/kittyNfall-1024x683.jpg","91976","Kitty at 3","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][6]/div/div[1]/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/KittyBlues-150x150.jpg","24663","Kitty-Grouse Hunting at 12","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][5]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/ravenpheasants-150x150.jpg","24382","Raven & His Pheasants (South Dakota)","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][2]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/kittyNfall-150x150.jpg","17367","Kitty at 3","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][6]/div/div[1]/a/img","Content","HTML","","150x150","","0"
