"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-bb-builder-css']","Head","HTML"
"CSS","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-bb-builder-css']","Head","HTML"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Westcliff-sold-landscape-e0a936680dbd6da6e831b23adcb54db6-6064723d34309.jpg","309164","Westcliff-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[5]/div[2]/div/div/div/div/div/img","Content","HTML"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","0","","","200","OK","true","","","Absolute","//body/script[@id='astra-dom-purify-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","0","","","200","OK","true","","","Absolute","//body/script[@id='astra-dom-purify-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","0","","","200","OK","true","","","Absolute","//body/script[@id='astra-dom-purify-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","0","","","200","OK","true","","","Absolute","//body/script[@id='astra-dom-purify-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","0","","","200","OK","true","","","Absolute","//body/script[@id='astra-dom-purify-js']","Content","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/contact/","86997","","Contact","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/contact/","86997","","CONTACT ME","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[2]/div[2]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/contact/","86997","","Contact","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/contact/","86997","","Skip to content","200","OK","true","","","Path-Relative","//body/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/contact/","86997","","Contact","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/contact/","86997","","Contact","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/contact/","86997","","Contact","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML"
"HTML Canonical","https://www.f3properties.com/contact/","https://www.f3properties.com/contact/","86997","","","200","OK","true","","","Absolute","//head/link[17]","Head","HTML"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Highcamp-sold-landscape-ba179cdcb7cdc551aa647b17b629d4bf-6075df281f86f.jpg","282078","Highcamp-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[7]/div[2]/div/div/div/div/div/img","Content","HTML"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/128-layout.css?ver=916bea4629fa8ab2f95d428093e2d515","0","","","200","OK","true","","","Absolute","//head/link[@id='fl-builder-layout-128-css']","Head","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/history/","100904","","History","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/history/","100904","","History","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/history/","100904","","History","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/history/","100904","","Skip to content","200","OK","true","","","Path-Relative","//body/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/history/","100904","","History","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/history/","100904","","History","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML"
"HTML Canonical","https://www.f3properties.com/history/","https://www.f3properties.com/history/","100904","","","200","OK","true","","","Absolute","//head/link[20]","Head","HTML"
