"Type","Source","Source Segments","Destination","Destination Segments","Form Action Link","Indexability","Indexability Status","hreflang","Size (Bytes)","Alt Text","Length","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Unlinked","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Incorrectly Sized Images Potential Savings (bytes)"
"HTML Canonical","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","","200","OK","true","","","Absolute","false","//head/link[21]","Head","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","Contact","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","CONTACT ME","200","OK","true","_self","","Absolute","false","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[2]/div[2]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","Contact","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","Skip to content","200","OK","true","","","Path-Relative","false","//body/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","Contact","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","Contact","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","Contact","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-19']/a","Navigation","HTML","","","","0"
"HTML Canonical","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","","https://www.f3properties.com/contact/","Indexable","","","86997","","0","","200","OK","true","","","Absolute","false","//head/link[17]","Head","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","Indexable","","","100904","","0","History","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","Indexable","","","100904","","0","History","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","Indexable","","","100904","","0","History","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","Indexable","","","100904","","0","Skip to content","200","OK","true","","","Path-Relative","false","//body/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","Indexable","","","100904","","0","History","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","Indexable","","","100904","","0","History","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-600']/a","Navigation","HTML","","","","0"
"HTML Canonical","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","","https://www.f3properties.com/history/","Indexable","","","100904","","0","","200","OK","true","","","Absolute","false","//head/link[20]","Head","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","Indexable","","","101416","","0","Lifestyle & Labradors","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","Indexable","","","101416","","0","Lifestyle & Labradors","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","Indexable","","","101416","","0","Lifestyle & Labradors","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","Indexable","","","101416","","0","Lifestyle & Labradors","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","Indexable","","","101416","","0","Skip to content","200","OK","true","","","Path-Relative","false","//body/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","Indexable","","","101416","","0","Lifestyle & Labradors","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML","","","","0"
"HTML Canonical","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","","https://www.f3properties.com/about/","Indexable","","","101416","","0","","200","OK","true","","","Absolute","false","//head/link[18]","Head","HTML","","","","0"
