"Type","Source","Destination","Anchor Text","Alt Text","Path Type"
"CSS","https://www.f3properties.com/projects/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/all.min.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/v4-shims.min.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/bb-plugin/css/jquery.bxslider.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.css?ver=ef59d784135bfe5bce0d1f50504f3837","","","Absolute"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","","","Absolute"
"HTML Canonical","https://www.f3properties.com/projects/","https://www.f3properties.com/projects/","","","Absolute"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/","","F3 Properties","Absolute"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/","Home","","Absolute"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/history/","History","","Absolute"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/projects/","Current Projects","","Absolute"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/about/","Lifestyle & Labradors","","Absolute"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/contact/","Contact","","Absolute"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","","","Absolute"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","","","Absolute"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/18-layout.js?ver=0e785a794391bca8f82a24a5cbbb928e","","","Absolute"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","","","Absolute"
"Image","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","","F3 Properties","Absolute"
"CSS","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/contact/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/18-layout.css?ver=bdfb12bb179badb1192d1e62dc0a204e","","","Absolute"
"CSS","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","","","Absolute"
"HTML Canonical","https://www.f3properties.com/contact/","https://www.f3properties.com/contact/","","","Absolute"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/","","F3 Properties","Absolute"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/","Home","","Absolute"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/history/","History","","Absolute"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/projects/","Current Projects","","Absolute"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/about/","Lifestyle & Labradors","","Absolute"
